商品コード,SKUID,商品名,グループ,部門,カテゴリ,サブカテ,is_selected
4971710397680 ,14971710397687 ,コーセーコスメポート ソフティモ ナチュサボン セレクト ホワイト ボディウォッシュ リッチモイスト ゆず＆ハニー つめかえ用 360ml,384,243,4,3,1
4987072072752 ,14987072072759 ,小林製薬 ひきしめ生葉Hc 100g,384,244,1,1,1
4987176167705 ,14987176167702 ,P＆G レノア 超消臭1WEEK フレッシュグリーンの香り つめかえ用 920ml,384,304,1,3,1
8076809578615 ,18076809578612 ,バリラ スパゲティ No.5 1.8mm 500g,211,5,7,1,1
4901577073519 ,14901577073516 ,キユーピー 1000アイランドドレッシング 180ml,211,3,9,6,1
4902102113724 ,14902102113721 ,コカ・コーラ アクエリアス 2000ml,211,74,1,5,1
4948636013628 ,14948636013625 ,千葉県産 コシヒカリ 5kg,211,8,1,10,1
4901313205730 ,14901313205737 ,亀田製菓 サラダうす焼 80g,211,1,3,1,1
4902106647614 ,14902106647611 ,ミツカン 追いがつおつゆ 500ml,211,3,17,1,1
4902110341812 ,14902110341819 ,日清製粉ウェルナ カメリヤ強力小麦粉チャック付 1kg,211,4,1,1,1
4549414077971 ,14549414077978 ,トップバリュベストプライス カルパス 53g,221,52,1,4,1
4549414288438 ,14549414288435 ,トップバリュベストプライス レモンティー 500g,211,2,5,2,1
4549741551779 ,14549741551776 ,トップバリュベストプライス はちみつ風味梅干 130g,221,14,1,4,1
4901810974474 ,14901810974471 ,トップバリュ ごはん 新潟コシヒカリ 180g×3,211,5,4,1,1
4902110362442 ,14902110362449 ,日清製粉ウェルナ マ・マー早ゆで2分スパゲティ 1.4mm 密封チャック付き結束タイプ 500g,211,5,7,1,1
4976994205027 ,14976994205024 ,ハーゲンダッツ ミニカップ ストロベリー 110ml,221,19,1,1,1
4547894198353 ,14547894198350 ,モンデリーズ・ジャパン リカルデント グレープミントボトル ガム 140g,211,1,1,3,1
4549414161397 ,14549414161394 ,トップバリュ くせが少なく、手軽に食べられるオートミール 900g,211,2,3,1,1
4549741149938 ,14549741149935 ,トップバリュベストプライス だし入りみそ 750g,211,3,1,1,1
4901330523213 ,14901330523210 ,カルビー ポテトチップスコンソメパンチゴー 28g×5袋,211,1,2,1,1
4901670110227 ,14901670110224 ,旭化成ホームプロダクツ サランラップ 22cm×20m,384,303,3,2,1
4901820505699 ,14901820505696 ,パスコ 十勝バタースティック 6本入,221,17,9,9,1
4904230064275 ,14904230064272 ,アサヒビール ザ・レモンクラフト グリーンレモン 400ml,214,9,5,2,1
4549414141870 ,14549414141877 ,トップバリュベストプライス クルミ 36g,211,1,6,2,1
4549741003728 ,14549741003725 ,トップバリュ ギリシャヨーグルト バニラ 110g,221,18,2,2,1
4549741157933 ,14549741157930 ,トップバリュ ロイヤルミルクティー 400g,211,2,5,2,1
4901360353606 ,14901360353603 ,ブルボン アルフォート ミニチョコレート 12個入,211,1,1,2,1
4901810161560 ,14901810161567 ,トップバリュ 水切りゴミ袋 不織布タイプ 三角コーナー用 30枚入,384,303,2,11,1
4902121287369 ,14902121287366 ,トップバリュベストプライス ごまドレッシング 380ml,211,3,9,6,1
4902165335620 ,14902165335627 ,あけぼの さけ水煮缶 180g,211,5,2,2,1
4902201411110 ,14902201411117 ,ネスカフェ エクセラ ボトルコーヒー無糖 900ml,211,74,1,7,1
4902388029962 ,14902388029969 ,永谷園 生みそ汁あさげ徳用10食,211,5,11,1,1
4902410324867 ,14902410324864 ,フジパン スナックサンド ツナ＆マヨ 2個入,221,17,9,6,1
